Call Start Time,Duration,,,,,,,,,,,,,,,,,,
12/18/2021 11:12:37 AM -08:00,00:14:31,,,,,,,,,,,,,,,,,,
12/18/2021 11:02:41 AM -08:00,00:01:47,,,,,,,,,,,,,,,,,,
12/18/2021 10:59:38 AM -08:00,00:11:59,,,,,,,,,,,,,,,,,,
12/18/2021 10:39:34 AM -08:00,00:18:39,,,,,,,,,,,,,,,,,,
12/18/2021 10:38:32 AM -08:00,00:12:36,,,,,,,,,,,,,,,,,,
12/18/2021 10:36:51 AM -08:00,00:15:26,,,,,,,,,,,,,,,,,,
12/18/2021 10:33:53 AM -08:00,00:00:26,,,,,,,,,,,,,,,,,,
12/18/2021 10:33:12 AM -08:00,00:01:31,,,,,,,,,,,,,,,,,,
12/18/2021 10:22:53 AM -08:00,00:05:39,,,,,,,,,,,,,,,,,,
12/18/2021 9:48:03 AM -08:00,00:01:27,,,,,,,,,,,,,,,,,,
12/18/2021 9:41:25 AM -08:00,00:31:16,,,,,,,,,,,,,,,,,,
12/18/2021 9:37:20 AM -08:00,00:00:53,,,,,,,,,,,,,,,,,,
